Title,Link,Upvote
It seems routine to see a bunch of browser User-Agents from the same IP,https://utcc.utoronto.ca/~cks/space/blog/web/MultipleUserAgentsSameIP,14 points
"Allan McDonald Refused To Approve Challenger Launch, Exposed Cover-Up (2021)",https://www.npr.org/2021/03/07/974534021/remembering-allan-mcdonald-he-refused-to-approve-challenger-launch-exposed-cover,252 points
Electromechanical Lunar Lander,http://www.chrisfenton.com/electromechanical-lunar-lander/,31 points
MeshAnything â€“ converts 3D representations into efficient 3D meshes,https://buaacyw.github.io/mesh-anything/,194 points
Show HN: I made a puzzle game that gently introduces my favorite math mysteries,https://www.rahulilango.com/coloring/,888 points
Code Models,https://openjdk.org/projects/babylon/articles/code-models,46 points
Wireless power transfer system achieves 270-kilowatt charge,https://www.ornl.gov/news/polyphase-wireless-power-transfer-system-achieves-270-kilowatt-charge-sets-another-world,4 points
Athelas (YC S16) Is Hiring a Senior Full-Stack Software Engineer,https://www.athelas.com/careers?ashby_jid=55c6a105-80be-40b1-8644-cd44f48f1d08,No upvote
Algorithmic Fitting of Japanese Candy,https://www.candyjapan.com/behind-the-scenes/algorithmic-fitting-of-japanese-candy,45 points
Ask HN: What indoor CO2 monitor do you recommend?,item?id=40749275,14 points
Tetris Font (2020),https://erikdemaine.org/fonts/tetris/,687 points
Chasing a Bug in a SAT Solver,https://ochagavia.nl/blog/chasing-a-bug-in-a-sat-solver/,47 points
Advanced Text Features and PDF,https://nibblestew.blogspot.com/2024/06/advanced-text-features-and-pdf.html,4 points
Bomb Jack display hardware,https://github.com/martinpiper/BombJack/blob/master/README.md,90 points
We no longer use LangChain for building our AI agents,https://www.octomind.dev/blog/why-we-no-longer-use-langchain-for-building-our-ai-agents,325 points
"Show HN: Local voice assistant using Ollama, transformers and Coqui TTS toolkit",https://github.com/mezbaul-h/june,104 points
Fuzz Map,https://www.fuzzmap.io/,232 points
Atkinson Dithering (2021),https://beyondloom.com/blog/dither.html,218 points
"Wc2: Investigates optimizing 'wc', the Unix word count program",https://github.com/robertdavidgraham/wc2,233 points
Section 230 Sunset Act Would Cut Off Young People's Access to Online Communities,https://www.teenvogue.com/story/section-230-sunset-act-young-people,11 points
Bog gravel filtration: Water cleaned by mother nature (2015),https://www.pondtrademag.com/bog-gravel-filtration-water-cleaned-by-mother-nature/,63 points
The Back of the Envelope (1984) [pdf],https://www.seltzer.com/margo/teaching/CS508.19/background/p180-bentley.pdf,22 points
How babies and young children learn to understand language,https://lithub.com/how-babies-and-young-children-learn-to-understand-language/,185 points
Gilead shot prevents all HIV cases in trial,https://www.bloomberg.com/news/articles/2024-06-20/gilead-shot-prevents-100-of-hiv-cases-in-trial-of-african-women,696 points
Let's write a video game from scratch like it's 1987,https://gaultier.github.io/blog/write_a_video_game_from_scratch_like_1987.html,250 points
Generating audio for video,https://deepmind.google/discover/blog/generating-audio-for-video/,94 points
NASA releases Hubble image taken in new pointing mode,https://science.nasa.gov/missions/hubble/nasa-releases-hubble-image-taken-in-new-pointing-mode/,275 points
EU Council has withdrawn the vote on Chat Control,https://stackdiary.com/eu-council-has-withdrawn-the-vote-on-chat-control/,1125 points
FDA Expands Approval of Gene Therapy for Patients with Muscular Dystrophy,https://www.fda.gov/news-events/press-announcements/fda-expands-approval-gene-therapy-patients-duchenne-muscular-dystrophy,13 points
Notes on Tajikistan,https://mattlakeman.org/2024/06/20/notes-on-tajikistan/,269 points
